opening,closing
((([((((([(([((((([((([(((,)))])))])))))]))])))))])))
[([(((((([[(,)]]))))))])]
[((([[[[[([([[([[[(([((((([([,])])))))]))]]])]])])]]]]])))]
([[([[[[([([((([[[(,)]]])))])])]]]])]])
([[[[[([(((,)))])]]]]])
(([[([[[((([[[[([(([,]))])]]]])))]]])]]))
[([((,))])]
([[[[[(([[([[,]])]]))]]]]])
([(([([(,)])]))])
[([[[((,))]]])]
([[([[[,]]])]])
[[[[[[[(((([([,])]))))]]]]]]]
[[([[[[[([(([(,)]))])]]]]])]]
(([([[((([([([(,)])])])))]])]))
(((([[(([(([(([[([(([[[[,]]]]))])]]))]))]))]]))))
[([(((([([([(,)])])]))))])]
([([([([[[([[([[[,]]])]])]]])])])])
([[([[[([[[([[[([,])]]])]]])]]])]])
[([[[(([((([[[([([(([(,)]))])])]]])))]))]]])]
([[[[([[[([([([([[([((([[([[,]])]])))])]])])])])]]])]]]])
([[[[,]]]])
(([[((([[([[[([[[[[,]]]]])]]])]])))]]))
(([(([((([([[((,))]])])))]))]))
(([[[[([([[((([[[((([[(([[[[([,])]]]]))]])))]]])))]])])]]]]))
[[[[[([[(([([[,]])]))]])]]]]]
((([[[([[([[[[([[((([(((,)))])))]])]]]])]])]]])))
[[((((([[[([([(,)])])]]])))))]]
[[((([[(([(([([([[[[([[((([[,]])))]])]]]])])]))]))]])))]]
((([[[([[(((([[([([((([[[(,)]]])))])])]]))))]])]]])))
[(([[,]]))]
([((([[((,))]])))])
((([[([[[((,))]]])]])))
[[(((((,)))))]]
[((([[[[(([[([[[(([[(,)]]))]]])]]))]]]])))]
[[[(([((([[[[[((([[([[([[[(,)]]])]])]])))]]]]])))]))]]]
[([([[[[([,])]]]])])]
[([([[((([[[(((,)))]]])))]])])]
[(([[(((((((([(,)]))))))))]]))]
[[([([[(([,]))]])])]]
[[(([[([[([[[[([(,)])]]]])]])]]))]]
[([([[[([([([[[[[([([([((,))])])])]]]]])])])]]])])]
((((([([[[([,])]]])])))))
([[(((,)))]])
[[[[([([[[[(([([,])]))]]]])])]]]]
([(((([[[,]]]))))])
(([([([(((((([[[[([[[[,]]]])]]]]))))))])])]))
[(([[([(([[(((([(([[[([[[[[,]]]]])]]]))]))))]]))])]]))]
[[[[(([[((((([,])))))]]))]]]]
([[([[([[(([(([(,)]))]))]])]])]])
[[[(([((([((([[(((([[([[[,]]])]]))))]])))])))]))]]]
[(([[([((([(([,]))])))])]]))]
(([([([((((((((([(([([([((,))])])]))])))))))))])])]))
[[[((([((([[[([(([([,])]))])]]])))])))]]]
[[(([[(([,]))]]))]]
(([[(((([(([[[[((((([((([([[[,]]])])))])))))]]]]))]))))]]))
(([([((((([([((([([((,))])])))])])))))])]))
[(((([[([([,])])]]))))]
(([[[((((((((,))))))))]]]))
[((([[[(([[([[[(([,]))]]])]]))]]])))]
[[[[[[((((([,])))))]]]]]]
(([([[(,)]])]))
(((([([[([[,]])]])]))))
[[[[(([((([(((((((([,]))))))))])))]))]]]]
[(([([((,))])]))]
[[[([(([([[[[[([[((((([,])))))]])]]]]])]))])]]]
([([([(,)])])])
([[([([,])])]])
[((([[(([([([[[(([([(((([[[[,]]]]))))])]))]]])])]))]])))]
[((([(,)])))]
([([[(([[((([[[([,])]]])))]]))]])])
(([([[((([[(,)]])))]])]))
(([([((((((,))))))])]))
[[[([([[[[((([([[(([([[[,]]])]))]])])))]]]])])]]]
([[([([([[[[[[[(,)]]]]]]])])])]])
[[((([[[(([([([(,)])])]))]]])))]]
([((((,))))])
(([[((([[[([([(([[[[([([[,]])])]]]]))])])]]])))]]))
([[(,)]])
([([(((,)))])])
[([([([[[[(,)]]]])])])]
[[[([[[[[[[([[([[,]])]])]]]]]]])]]]
([(([(([[(([([[[([((((,))))])]]])]))]]))]))])
([([[,]])])
[[[[[[(([((([[(([[[,]]]))]])))]))]]]]]]
((([(([((([(([[[[(([(((((,)))))]))]]]]))])))]))])))
((((([(([[(([((([[[([[(((,)))]])]]])))]))]]))])))))
(([[[,]]]))
([[([([(([([[((([[[((([([[,]])])))]]])))]])]))])])]])
([[(((([(,)]))))]])
[(([[([((([((((([(([[([(([((,))]))])]]))])))))])))])]]))]
((([(([(([[[[[([[((([,])))]])]]]]]))]))])))
((([([([([[[[[(([([(,)])]))]]]]])])])])))
[[([([[[([[(([([(((([[,]]))))])]))]])]]])])]]
[[[([(([([(((([([([[[(,)]]])])]))))])]))])]]]
[[([([[((([[(([[(([[((([[(((([,]))))]])))]]))]]))]])))]])])]]
([[([((,))])]])
(([((((([([[[[(([[[([[[([[,]])]]])]]]))]]]])])))))]))
([[[[(([[[([([(((,)))])])]]]))]]]])
[[(([([(((([([[([[([[([([(([,]))])])]])]])]])]))))])]))]]
((([((([(([(,)]))])))])))
[[([[[[((((([([[([,])]])])))))]]]])]]
[[[[[((((([((([(([,]))])))])))))]]]]]
([[((([(([,]))])))]])
[[[((((((([(,)])))))))]]]
[(([([(([[[([[((((([(([((([(,)])))]))])))))]])]]]))])]))]
(((([[[[[[[[([[[[([[(((,)))]])]]]])]]]]]]]]))))
([(((([(([[([[[[[,]]]]])]]))]))))])
[[(([([[([[([((([[([,])]])))])]])]])]))]]
[[[[[(([([(([((((((,))))))]))])]))]]]]]
[([((([([[[[(([([[([((([,])))])]])]))]]]])])))])]
(([[(([[([([[[([[[[(((((([((([,])))]))))))]]]])]]])])]]))]]))
((((([((((,))))])))))
([([[[(((([[((((((,))))))]]))))]]])])
([[[([((([((([([[((((([,])))))]])])))])))])]]])
([[([[((,))]])]])
[[[([(((([([[,]])]))))])]]]
([[((,))]])
(([[(([([[[(([[((,))]]))]]])]))]]))
[[([[[[([[((,))]])]]]])]]
[[[[[[[[[([([[[[(([[(([((,))]))]]))]]]])])]]]]]]]]]
([[[([(([((([(((([(((([([((((,))))])]))))]))))])))]))])]]])
((([[[([,])]]])))
(((([(([[(((([[[(,)]]]))))]]))]))))
(([[[([[[(,)]]])]]]))
[([([([([[[([(((([[([(,)])]]))))])]]])])])])]
[[([[[[[[[[(([(([(((,)))]))]))]]]]]]]])]]
([[[([(,)])]]])
[[[[([[[(([([(([[((([[,]])))]]))])]))]]])]]]]
[[([([(([([[[[([([[(((([([((,))])]))))]])])]]]])]))])])]]
([[[[[[[[([[[([[[[((([([[[[[((,))]]]]])])))]]]])]]])]]]]]]]])
([([,])])
[[[(([[([[[([([([[[((([(([[(([,]))]]))])))]]])])])]]])]]))]]]
((([([((([(([,]))])))])])))
([([[[[[(((([(([,]))]))))]]]]])])
([([((((([(([(,)]))])))))])])
[([((([(,)])))])]
[([((([((([[[[[[[[[(([[,]]))]]]]]]]]])))])))])]
[(([([[[[[[[([[[[[(((,)))]]]]])]]]]]]])]))]
[[[[[(([[[[[[[(([[[((([[((,))]])))]]]))]]]]]]]))]]]]]
[[[[[[(([[([[(([([([(([[(,)]]))])])]))]])]]))]]]]]]
(([((,))]))
(((((([[((([[([[[[[([[,]])]]]]])]])))]]))))))
[((([[[[[((([([[((([(((,)))])))]])])))]]]]])))]
(((([[[([[[[[([[[([[[,]]])]]])]]]]])]]]))))
([[[[[[[[([[[(([[[[((([,])))]]]]))]]])]]]]]]]])
((([(((((([(([,]))]))))))])))
(([([[[((([[(([[[[,]]]]))]])))]]])]))
(([(([([[([((,))])]])]))]))
[([[[(([[([[,]])]]))]]])]
[([[[[[([((([[(([[(([,]))]]))]])))])]]]]])]
((([[[[[[[,]]]]]]])))
(((([,]))))
(([[[([([[(,)]])])]]]))
[[[([([[[(,)]]])])]]]
[((([[[(,)]]])))]
[[((([[([[[([[[([[[([[,]])]]])]]])]]])]])))]]
[[(([([(((([([(([,]))])]))))])]))]]
[[[[((([[[[(,)]]]])))]]]]
[[[[([([,])])]]]]
(([([([[[[([(((([(([[((,))]]))]))))])]]]])])]))
(([([([[[(([[(((((([[(([([(,)])]))]]))))))]]))]]])])]))
([(([(([((([(([([(((([,]))))])]))])))]))]))])
[([[[((([([(([([([([[(,)]])])])]))])])))]]])]
[[[(([([[([((([((((([[,]])))))])))])]])]))]]]
[([[[[((([[([(([((((([,])))))]))])]])))]]]])]
([([([([[(((([[([[(([(([[((,))]]))]))]])]]))))]])])])])
(((((([(([[([[[[[,]]]]])]]))]))))))
[[[[(([[([[,]])]]))]]]]
[[[([[[([[[((([[[[[[((([([([[(,)]])])])))]]]]]])))]]])]]])]]]
(((([[((([([[[((([[([([([[[[[,]]]]])])])]])))]]])])))]]))))
[[[(([(((([[[[([(([[([(,)])]]))])]]]]))))]))]]]
[[[[([,])]]]]
[(((([[[[[[[([(((([(([[([[[((,))]]])]]))]))))])]]]]]]]))))]
[[[([([(([([(([[(([[[[[[[(,)]]]]]]]))]]))])]))])])]]]
[[(([(([([((,))])]))]))]]
[[(([[([[[,]]])]]))]]
([(([[([((((((,))))))])]]))])
([(((([[(([(([[([[[[,]]]])]]))]))]]))))])
([[([[((([[([[[([((((([(([,]))])))))])]]])]])))]])]])
[[((([[(([[[([(((([(([[[[,]]]]))]))))])]]]))]])))]]
[[((([[([[[[([([([[[(,)]]])])])]]]])]])))]]
([[([(([[[[[((([(([[([[,]])]]))])))]]]]]))])]])
[([[([[([[([[(([[([[(,)]])]]))]])]])]])]])]
[[[([[[([[[[[(([([[([[([[[,]]])]])]])]))]]]]])]]])]]]
[[([[[(,)]]])]]
([[([((([,])))])]])
(((((([[([[[([(,)])]]])]]))))))
[[([[([[[[[((((([[(([[[[([([,])])]]]]))]])))))]]]]])]])]]
[(([[[[,]]]]))]
(([[[[[[,]]]]]]))
([[([([((,))])])]])
((([(([[([(([([([[[[[[[[[[([([,])])]]]]]]]]]])])]))])]]))])))
[[([[((([([[[[[([[([((,))])]])]]]]])])))]])]]
((((([(([([[(,)]])]))])))))
[((((([[,]])))))]
([((([(((([[[((([,])))]]]))))])))])
[([[[(([[[(([[[([[([[[[([,])]]]])]])]]]))]]]))]]])]
[[[[(([([([[([[[[[,]]]]])]])])]))]]]]
[([([[[([[[([(,)])]]])]]])])]
[([([((,))])])]
([((([(((((([((([(,)])))]))))))])))])
[((([([[[[(([([((([(,)])))])]))]]]])])))]
[[[([(([(([(,)]))]))])]]]
(([(([[,]]))]))
([[([[,]])]])
(([[([([[[([([[[([[[((((([,])))))]]])]]])])]]])])]]))
([(((([([,])]))))])
(([([([[[[[[([([([([[([([([([,])])])])]])])])])]]]]]])])]))
([[[([[((((([[([[([[(((,)))]])]])]])))))]])]]])
(([([[[([,])]]])]))
[(([[[,]]]))]
((((([[([((((([[((([([[(([([[,]])]))]])])))]])))))])]])))))
[[[[([[([[(((,)))]])]])]]]]
([([([((((([([(,)])])))))])])])
[[[([([(([[([(,)])]]))])])]]]
[([([(([((((([[,]])))))]))])])]
[[([(([[[[[[,]]]]]]))])]]
[[[((((([(([[(([[([[[[((([[[([,])]]])))]]]])]]))]]))])))))]]]
[([([[(((((,)))))]])])]
[([(([([[(((((((([([,])]))))))))]])]))])]
(([((((,))))]))
[([[[([(([[([[(([[(([(([,]))]))]]))]])]]))])]]])]
((((([([[[(,)]]])])))))
[[(([([[([[((((([[((([([([(([(,)]))])])])))]])))))]])]])]))]]
[([[((([[[([[(([([[[[[(((,)))]]]]])]))]])]]])))]])]
([[[([[,]])]]])
[([([[(([([([[[[(,)]]]])])]))]])])]
([((((([[[((([[(([,]))]])))]]])))))])
[([(([([[([[(([[[([((((([([[(,)]])])))))])]]]))]])]])]))])]
[([([[[[(([[(([([((,))])]))]]))]]]])])]
(((((((,)))))))
([[([[(([([(((((((([,]))))))))])]))]])]])
[[[([([([(([[[(([[([((([,])))])]]))]]]))])])])]]]
[[[([[[((((((([(([(([(([,]))]))]))])))))))]]])]]]
[(((,)))]
[[[[[([[[[[[([[[(([([[,]])]))]]])]]]]]])]]]]]
[([(((([[((([[[[[[[((,))]]]]]]])))]]))))])]
[(((([[[[[(((((([,]))))))]]]]]))))]
[[[[[((([([[[[[[,]]]]]])])))]]]]]
(([([([[(([[((([([((,))])])))]]))]])])]))
[[([((((,))))])]]
(([([(,)])]))
([[[[[((((([([[(,)]])])))))]]]]])
((([[(((([[[[([(,)])]]]]))))]])))
(([[([[(((([((,))]))))]])]]))
[((([([[([[[,]]])]])])))]
((([((((([[([([(([[[[[[,]]]]]]))])])]])))))])))
[[([[(([[((([([,])])))]]))]])]]
[[[[([[((([[[[((((([[,]])))))]]]])))]])]]]]
(([([((([(([[[(([[[([[(([[(([,]))]]))]])]]]))]]]))])))])]))
(([([[[[[[(([[((((([[([((([(,)])))])]])))))]]))]]]]]])]))
[[[[[([([((([((([(((,)))])))])))])])]]]]]
(([((([(((([[([[[[,]]]])]]))))])))]))
[(((((([(([(((((,)))))]))]))))))]
[[(([(([([[((([[[[([[[[[(((,)))]]]]])]]]])))]])]))]))]]
([[[([(((([[[([([([,])])])]]]))))])]]])
((([[[((,))]]])))
((([(((([[,]]))))])))
(([([[[([[[([(([[[[[[[[[(,)]]]]]]]]]))])]]])]]])]))
(((([[[(,)]]]))))
(([[(([[[[((((([([((([[[([([,])])]]])))])])))))]]]]))]]))
[[([[([[(([[(([[[((((([,])))))]]]))]]))]])]])]]
[[[([([[[([[[[[,]]]]])]]])])]]]
[[[([[[[[,]]]]])]]]
([(([([([[[([[(((,)))]])]]])])]))])
[[([(([(,)]))])]]
[([([([(([([[(([[[([([,])])]]]))]])]))])])])]
([(([(,)]))])
[[[[[[((((([[(([([[[[[,]]]]])]))]])))))]]]]]]
[([((([([([[[[([((,))])]]]])])])))])]
[[[(((([([[[[([[[,]]])]]]])]))))]]]
((((([([([[,]])])])))))
[([(([([((([((,))])))])]))])]
[[((([[((([(((,)))])))]])))]]
[((((([[(((([[[([[([[(([[[,]]]))]])]])]]]))))]])))))]
[[([(([(([[[[(,)]]]]))]))])]]
[[[([(([([[,]])]))])]]]
[([([(([(((((,)))))]))])])]
[(([[[([([([([[[[[[((,))]]]]]])])])])]]]))]
[(([[([,])]]))]
([[((([[[[([[[(([([,])]))]]])]]]])))]])
[([(([[((([[[([([([[[(([([(,)])]))]]])])])]]])))]]))])]
[[[([((([(((([([[[[([[[[[(,)]]]]])]]]])]))))])))])]]]
[[[(((((((((([[[[[([((([[,]])))])]]]]]))))))))))]]]
[[([[([[([[[,]]])]])]])]]
[[[[([[[[([([[[([(([(,)]))])]]])])]]]])]]]]
(([[([((((([[((,))]])))))])]]))
([([[[[([[[[[(([[((([([[,]])])))]]))]]]]])]]]])])
((([[[[[(([[([[(([[[[[([[,]])]]]]]))]])]]))]]]]])))
((([[((([([[[[[[(([,]))]]]]]])])))]])))
[[([((((([(([[[[(,)]]]]))])))))])]]
(([([(([(([([[[(([(([(([((,))]))]))]))]]])]))]))])]))
((([([[[[([[[([(,)])]]])]]]])])))
([[([([[[[[[[[(([[,]]))]]]]]]]])])]])
([([((([[[[([[(,)]])]]]])))])])
(([[[[[[[(([(([([,])]))]))]]]]]]]))
[([[(([([((([(([[([[,]])]]))])))])]))]])]
[([[(,)]])]
([((([[([[((([([[[(([[[[,]]]]))]]])])))]])]])))])
(([[(([([[[(([([,])]))]]])]))]]))
[[[([[[[[[((([(((,)))])))]]]]]])]]]
[([[[([[[[(([[[([([(,)])])]]]))]]]])]]])]
((([(([[(([(((([,]))))]))]]))])))
[([[((((([[([([[[[(([[(([[[[[[,]]]]]]))]]))]]]])])]])))))]])]
[([[([[([(((([[([[(((([([[[[(,)]]]])]))))]])]]))))])]])]])]
[(([([((([[([(([,]))])]])))])]))]
[[[[[(([[[[[[([[([[((((((([([,])])))))))]])]])]]]]]]))]]]]]
([([([[[[[([(((([[,]]))))])]]]]])])])
[[[[[[[[[([((((([[[[([(,)])]]]])))))])]]]]]]]]]
([(([([[([([([(([[([[[,]]])]]))])])])]])]))])
([([((([[([((([[[[[[([([[([(,)])]])])]]]]]])))])]])))])])
[([[[[[((([([(([[([,])]]))])])))]]]]])]
[([([([[([(,)])]])])])]
[[([([[((((([[[[([([([[[[,]]]])])])]]]])))))]])])]]
([[([([((([([(((([(,)]))))])])))])])]])
([[[((,))]]])
([(([[(,)]]))])
([[[[([[(([([(([,]))])]))]])]]]])
[([[([([[[[[[[,]]]]]]])])]])]
[(((((([[[((([([([(((,)))])])])))]]]))))))]
((([[((((([([(([([([[[([[([,])]])]]])])]))])])))))]])))
((([[[[[[[([[[[(([[[((,))]]]))]]]])]]]]]]])))
[([[[([((,))])]]])]
[((([(([[([(((([[[,]]]))))])]]))])))]
((([[[[([[([[[([(,)])]]])]])]]]])))
[[((([([[(([[[((([((([([(,)])])))])))]]]))]])])))]]
((([([([([[([[[[(([[((([,])))]]))]]]])]])])])])))
[([[(([([(((,)))])]))]])]
[[((([([((((,))))])])))]]
((((((([[(,)]])))))))
[[(([((([[[[,]]]])))]))]]
([(([([[(([,]))]])]))])
(((([[(((([(([((([[(([[[[,]]]]))]])))]))]))))]]))))
[[[[([[[[[[[[(([[,]]))]]]]]]]])]]]]
[([[[[((,))]]]])]
([[[[[[(([[[([([((([[[((([(,)])))]]])))])])]]]))]]]]]])
[[((([(([[(((((,)))))]]))])))]]
([(([([[((((([[[[([(([[([[(,)]])]]))])]]]])))))]])]))])
[([[[[[[(([[,]]))]]]]]])]
([([((([([,])])))])])
[([[([[([[([[((((([([[(([,]))]])])))))]])]])]])]])]
[(([(((((((((([[(([[[[([(((([,]))))])]]]]))]]))))))))))]))]
([([[[([,])]]])])
([[[[([,])]]]])
[([([(((((,)))))])])]
[(([((,))]))]
(([([((([(((([((((([([[[[(([(,)]))]]]])])))))]))))])))])]))
(([([([(([[(,)]]))])])]))
[([(([(([([(([[[[[([([[[(([([(,)])]))]]])])]]]]]))])]))]))])]
([[[([((([([[(,)]])])))])]]])
(((([[([[(([[[([(([[(([,]))]]))])]]]))]])]]))))
(([[(((((([(((([[(,)]]))))]))))))]]))
[[[(([[([[(,)]])]]))]]]
((([[,]])))
[((((([[[(([[([(([([([[(,)]])])]))])]]))]]])))))]
[[((((,))))]]
[([(([[(([[([([(,)])])]]))]]))])]
[([[([([[([((((([[[([(,)])]]])))))])]])])]])]
[([(([[[((([(([([[,]])]))])))]]]))])]
((((((([([,])])))))))
([[(([([([[(([([([([([((((([,])))))])])])])]))]])])]))]])
[[[([[(([[(([([(,)])]))]]))]])]]]
[([((([([(([[,]]))])])))])]
(([([[[([[[[[[([[[[([[[[[[(,)]]]]]])]]]])]]]]]])]]])]))
(((([[[([([[(,)]])])]]]))))
[[([([(((([([[([[([[[([[((([([,])])))]])]]])]])]])]))))])])]]
(([[(([([[[([([((([((,))])))])])]]])]))]]))
[[[[(([((,))]))]]]]
(([[[([(([(([[[[[[[[([([(,)])])]]]]]]]]))]))])]]]))
[[(([([(([((((,))))]))])]))]]
[(((([,]))))]
([[([[[([[((((([,])))))]])]]])]])
[[(([[(([([(([,]))])]))]]))]]
[([[([(([[[(,)]]]))])]])]
[[[[(([[[[[([(,)])]]]]]))]]]]
((((([[(([[[(([[(([([(,)])]))]]))]]]))]])))))
[((((,))))]
[([[([[[((([[([[[[(([[((([[,]])))]]))]]]])]])))]]])]])]
[((([[[([[[[[(((((([[[[[[([([(,)])])]]]]]]))))))]]]]])]]])))]
([[([([(([[([[[((([(([[[[([,])]]]]))])))]]])]]))])])]])
((((((([([((([,])))])])))))))
(([[[[[([([(,)])])]]]]]))
([((([[(([([[[([[([(,)])]])]]])]))]])))])
([[([[[[(([((,))]))]]]])]])
([[[[([[((([((([,])))])))]])]]]])
[[([((([[[[[((((([(((([(,)]))))])))))]]]]])))])]]
((([([([[[([,])]]])])])))
((([(((([((([(,)])))]))))])))
[((((([[[(([(([(([((([([(([(([,]))]))])])))]))]))]))]]])))))]
[[[[(,)]]]]
((([[([[[[[((,))]]]]])]])))
[([([(([[(((,)))]]))])])]
[(([(([[[([(([(([[(([(([[,]]))]))]]))]))])]]]))]))]
[[(((((([[([((([(([[([,])]]))])))])]]))))))]]
[([[((([([[[(,)]]])])))]])]
((([(((([[([[([[(((,)))]])]])]]))))])))
(([([[[(([[[[((((((([((,))])))))))]]]]))]]])]))
[[[((((([([(([[([[[[[[[(([,]))]]]]]]])]]))])])))))]]]
([([(([[((([([(([,]))])])))]]))])])
(([([(([[,]]))])]))
((((([([,])])))))
[([(((([[[[([[([([[((([([([(((,)))])])])))]])])]])]]]]))))])]
[[[[([([[([[[((([[((([,])))]])))]]])]])])]]]]
[[[((,))]]]
[[[([[[(([([((,))])]))]]])]]]
((((((([([[[[[[[((,))]]]]]]])])))))))
((([[([(((((([([([([((((([[,]])))))])])])]))))))])]])))
(((([[[([([([[[[(,)]]]])])])]]]))))
(([[[([[([([[[(([[[[[[(((([[,]]))))]]]]]]))]]])])]])]]]))
(((([(([([([[[([([[[[((,))]]]])])]]])])]))]))))
[(([([([(,)])])]))]
[[[[([[[[[,]]]]])]]]]
(([(([[[((([[([,])]])))]]]))]))
(([[[(([[[[([[([[(([[[[([[[[(,)]]]])]]]]))]])]])]]]]))]]]))
[(((((([[((((([(,)])))))]]))))))]
[[([(([([(([([(([([[,]])]))])]))])]))])]]
[(([[[[([[((((((([[((([,])))]])))))))]])]]]]))]
[[([[[[([(([((([[((((([[[(([([,])]))]]])))))]])))]))])]]]])]]
[((([[([((([[([([([[[(([([(,)])]))]]])])])]])))])]])))]
[[([[(([[([([[(,)]])])]]))]])]]
([([[((((([([(([[((([[[,]]])))]]))])])))))]])])
[(([(((([[([[[[([,])]]]])]]))))]))]
([[([([([([[[[[(((,)))]]]]])])])])]])
([([(([((((([[[[,]]]])))))]))])])
[([[[[(([[[(((,)))]]]))]]]])]
[([[[([([[[[[[(([[[([[([[[[(,)]]]])]])]]]))]]]]]])])]]])]
[[([[([(,)])]])]]
((([([([[[[[((([[[([([([(([((,))]))])])])]]])))]]]]])])])))
[(([[[(((([([([([(((([[([[,]])]]))))])])])]))))]]]))]
[[[(([[(([(,)]))]]))]]]
([[[[(([[[[[[((([((((([([[,]])])))))])))]]]]]]))]]]])
([[(([[([[([[,]])]])]]))]])
([(((([[([([(([([,])]))])])]]))))])
(((([(([[[[[([,])]]]]]))]))))
[([(([([([,])])]))])]
([[([[((([[((([([(((([(([(,)]))]))))])])))]])))]])]])
[[[([([[([[,]])]])])]]]
[[[[[([[,]])]]]]]
(((((([[([[[[[[[([(,)])]]]]]]])]]))))))
[[([[(([[([[((((([[((([([,])])))]])))))]])]]))]])]]
(([[[(([([([[([[[[[([,])]]]]])]])])]))]]]))
((([((([[[([[[[((([[[(([([(([[,]]))])]))]]])))]]]])]]])))])))
(([([[(([,]))]])]))
[[[([(([[([[[((,))]]])]]))])]]]
[[(([(([([(,)])]))]))]]
(([[[[[[(((,)))]]]]]]))
[((([([[(([[[(,)]]]))]])])))]
[[([([(((((,)))))])])]]
[([(([[([([(([,]))])])]]))])]
((((((((([(([([[[(([[[([([,])])]]]))]]])]))])))))))))
[[([((([[([(((([[[[([[([,])]])]]]]))))])]])))])]]
[(((([([,])]))))]
[[[[[((((,))))]]]]]
[[[[(([[((([([[[[,]]]])])))]]))]]]]
([[([[[[[(((([([[([,])]])]))))]]]]])]])
(((([([[((([[[,]]])))]])]))))
(([([[[[[(((([[(([[[[(([,]))]]]]))]]))))]]]]])]))
(((([([[(([([(,)])]))]])]))))
[[([[(([[([([(([[[(((,)))]]]))])])]]))]])]]
([[[[([[([[[([([(((,)))])])]]])]])]]]])
[[(([[[((([(([[(([[[[[,]]]]]))]]))])))]]]))]]
[((([((((((((([[([[[((([[[,]]])))]]])]])))))))))])))]
[([(([[[[[[((([([((([[[[([[,]])]]]])))])])))]]]]]]))])]
([([(([[([([[((,))]])])]]))])])
[[[(([[((([[(([(((([(((([[[[,]]]]))))]))))]))]])))]]))]]]
([[[[[[([(([[[[(((([[[,]]]))))]]]]))])]]]]]])
[[[[([([[(([([,])]))]])])]]]]
((([[(([[[((([[[((([[,]])))]]])))]]]))]])))
[([[([[([[((([(([([[[,]]])]))])))]])]])]])]
[[[[((([[((((((([[[([[[[,]]]])]]])))))))]])))]]]]
((([([[([([(([[((([([[([,])]])])))]]))])])]])])))
(([[([(([[[((((,))))]]]))])]]))
(([[[[[([((,))])]]]]]))
((((([(((([([[(([[[[[([(,)])]]]]]))]])]))))])))))
([[(((([[[[[[([,])]]]]]]))))]])
([([(((([([([([(([[[((,))]]]))])])])]))))])])
[(([[[[(([(([[((((,))))]]))]))]]]]))]
([((([[[(([(((,)))]))]]])))])
[([(((([[(([[([[[(([(([[[(,)]]]))]))]]])]]))]]))))])]
([(([(([,]))]))])
([[[[[(([[(([[[[[([[[[[((,))]]]]])]]]]]))]]))]]]]])
[([(,)])]
[[(([(([[((((((,))))))]]))]))]]
([(((((([((((([[[[[(((([,]))))]]]]])))))]))))))])
[(([(([(([[((((([((([([[([(,)])]])])))])))))]]))]))]))]
([(([[,]]))])
[([([([([[([[((((([(([([([([([,])])])])]))])))))]])]])])])])]
[[[(([((([[[[[(([(([(((([[[[[,]]]]]))))]))]))]]]]])))]))]]]
([[((([[[,]]])))]])
[([((([([(([[(([(([[[(([((([[,]])))]))]]]))]))]]))])])))])]
(([([(([(((([(([[((([(([([,])]))])))]]))]))))]))])]))
([((([[(([(,)]))]])))])
[([[[[(([(,)]))]]]])]
(([([[,]])]))
[(((([[[[[[([[[[((,))]]]])]]]]]]))))]
([[([[([([[([[(((([[([[[[((((,))))]]]])]]))))]])]])])]])]])
[([(([[[((,))]]]))])]
[[[[[([[[(,)]]])]]]]]
[[([[[([(((((([(((((((,)))))))]))))))])]]])]]
((([((([[[[[([(([(((((([[[(,)]]]))))))]))])]]]]])))])))
([([([(([(((([([[[[((((((,))))))]]]])]))))]))])])])
[[[[[([[([([[[([[((([,])))]])]]])])]])]]]]]
(([[[[([,])]]]]))
[[[(([([[(([[[,]]]))]])]))]]]
[([[(([([[[((((((([(,)])))))))]]])]))]])]
[[[(([[(([[[([[(([[[((((,))))]]]))]])]]]))]]))]]]
([[[[[([(([[([([[[[,]]]])])]]))])]]]]])
([[(([[(([[[[[((([(([((,))]))])))]]]]]))]]))]])
[[([[([[[((([[[([[((,))]])]]])))]]])]])]]
([[([[[[[[[[(,)]]]]]]]])]])
[[((([[,]])))]]
([([[(,)]])])
[((([(((([((((([([[((([[[[[[[[,]]]]]]]])))]])])))))]))))])))]
[(((([[[[[(([(((([[([([(([[[[,]]]]))])])]]))))]))]]]]]))))]
[([[([(([[[[(,)]]]]))])]])]
[([(([[[([[([[(([((([,])))]))]])]])]]]))])]
[([([[([([((((([[([[(([,]))]])]])))))])])]])])]
(([[[([(([(([(([(([[,]]))]))]))]))])]]]))
([([[[[([[[([([([(,)])])])]]])]]]])])
[[(([[([((([(,)])))])]]))]]
([[[([((((((,))))))])]]])
((((([([[(([,]))]])])))))
((([((([([((([[(,)]])))])])))])))
([(([[[,]]]))])
([[[[[[(([(([([(([((,))]))])]))]))]]]]]])
[[[([((([[([[([[,]])]])]])))])]]]
[((([([[,]])])))]
[((([([[[[(((([[[((,))]]]))))]]]])])))]
[[[([[[((([([([[[(([(,)]))]]])])])))]]])]]]
((([([[[[[[,]]]]]])])))
(([[([[[[[(([([((([[(,)]])))])]))]]]]])]]))
([[[([[[[([,])]]]])]]])
([[[[(((((([([[(([[(([[([[(,)]])]]))]]))]])]))))))]]]])
(([[([([[[[[(((([((([((,))])))]))))]]]]])])]]))
[(((([([[[[(([([([((,))])])]))]]]])]))))]
[(([(((((((,)))))))]))]
(((([([(,)])]))))
[[[[((([[(([(([(((([[[[(([(,)]))]]]]))))]))]))]])))]]]]
[[[[[((,))]]]]]
(([[(([([([[[((([[([(([[(([[((,))]]))]]))])]])))]]])])]))]]))
[[[[(([[,]]))]]]]
[[([([[([(,)])]])])]]
